"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"1","C1, C104, C105, C106, C107, C108, C109, C110, C112, C114, C115, C117, C119, C125, C128, C129, C131, C133, C134, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C158, C159, C301, C302, C303, C304, C402, C603, C604","49","CAP_0402","100nF 6.3V 0402","CAP_0402_MURATA","","","","","","","","2"
"2","C2, C6, C10, C113","4","CAP_0603","4.7uF 6.3V 0603 X5R 10%","CAP_0603_N","TDK","","","","","","http://www.farnell.com/datasheets/2291921.pdf","2"
"3","C3, C7, C11, C116","4","CAP_0402","200pF 16V 0402 X5R","CAP_0402_MURATA","","","","","","","","2"
"4","C4, C5, C8, C9, C12, C13, C132, C160","8","CAP_0805_N","22uF 25V X5R","CAP_0805_N","","","","","","","","2"
"5","C101, C126, C127, C130, C135","5","CAP_0402","4.7uF 6.3V 0402 10%","CAP_0402_MURATA","Yageo","","","","","","","2"
"6","C102, C103, C111, C401","4","CAP_0603","10uF 6.3V 0603 X5R 10%","CAP_0603_N","TDK","","","","","","http://www.farnell.com/datasheets/2291921.pdf","2"
"7","C118, C120","2","CAP_0603","10uF 6.3V 0603 X5R 20mOhm ESR 10%","CAP_0603_N","TDK","","","","","","http://www.farnell.com/datasheets/2291921.pdf","2"
"8","C121, C122, C124","3","CAP_0402","2.2uF 6.3V 0402","CAP_0402_MURATA","","","","","","","","2"
"9","C123, C157, C601, C602","4","CAP_0402","1uF 6.3V 0402","CAP_0402_MURATA","Murata","","","","","","https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","2"
"10","D1","1","LED 0603 BLUE","3V3","LED_0603_WURTH","","","","","","","","2"
"11","D2","1","LED 0603 BLUE","3V3_ESP32","LED_0603_WURTH","","","","","","","","2"
"12","D101, D601, D602","3","LED 0603 GREEN","CDONE","LED_0603_WURTH","","","","","","","","2"
"13","D102","1","BAV21W","","SOD365X155X145L30X57N","MDD(Microdiode Semiconductor)","","","C113947","","","https://www.lcsc.com/datasheet/C113947.pdf","2"
"14","D103","1","LED 0603 RED","MCU_ACT","LED_0603_WURTH","","","","","","","","2"
"15","D104","1","LED 0603 ORANGE","ESP_ACT","LED_0603_WURTH","","","","","","","","2"
"16","D105","1","LED 0603 YELLOW","FPGA_ACT","LED_0603_WURTH","","","","","","","","2"
"17","J1","1","B2B-XH-A(LF)(SN)","AIN1","SHDRV2W64P250_2X1_740X575H700","JST","","","C158012","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","2"
"18","J401","1","PPTC041LFBN-RC","SWD","RHDRV4W80P254_4X1_1066X250H875_AP1","Sullins","","","","","S7002-ND","http://datasheets.diptrace.com/con_headers/xPxCxxxLFBN-RC_10492-E.pdf","4"
"19","J402","1","FTSH-105-01-X-DV-P-K-X","DEBUG","SAMTEC_FTSH-105-01-X-DV-P-K-X","Samtec","FTSH-105-01-F-DV-K","","","","","","10"
