"RefDes"."Name"."Pattern"."Center X (mm)"."Center Y (mm)"."Side"."Rotation"."Value"."Origin X (mm)"."Origin Y (mm)"."Part Number (LCSC)"."Part Number (Digi-Key)"."Part Number (Mouser)"."MP"."Package"
"C1"."CAP_0402"."CAP_0402_MURATA"."92"."38.9"."Top"."180.0"."1uF 6.3V 0402"."92"."38.9".""."".""."".""
"C2"."CAP_0805_N"."CAP_0805_N"."94.175"."38.725"."Top"."90.0"."22uF 25V X5R"."94.175"."38.725".""."".""."".""
"C3"."CAP_0402"."CAP_0402_MURATA"."96.875"."37.7"."Top"."0.0"."100nF 6.3V 0402"."96.875"."37.7".""."".""."".""
"C4"."CAP_0402"."CAP_0402_MURATA"."70.7"."21.45"."Top"."90.0"."100nF 6.3V 0402"."70.7"."21.45".""."".""."".""
"C5"."CAP_0402"."CAP_0402_MURATA"."49.6"."48.55"."Top"."90.01"."4.7uF 6.3V 0402 10%"."49.6"."48.55".""."".""."".""
"C6"."CAP_0402"."CAP_0402_MURATA"."71.7"."21.45"."Top"."90.0"."1uF 6.3V 0402"."71.7"."21.45".""."".""."".""
"C7"."CAP_0402"."CAP_0402_MURATA"."86.2"."19.75"."Top"."0.0"."100nF 6.3V 0402"."86.2"."19.75".""."".""."".""
"C8"."CAP_0402"."CAP_0402_MURATA"."86.2"."18.75"."Top"."0.0"."1uF 6.3V 0402"."86.2"."18.75".""."".""."".""
"C9"."CAP_0402"."CAP_0402_MURATA"."98"."16.4"."Top"."270.0"."100nF 6.3V 0402"."98"."16.4".""."".""."".""
"C10"."CAP_0603"."CAP_0603_N"."96.7"."16.2"."Top"."270.0"."10uF 6.3V 0603 X5R 20mOhm ESR 10%"."96.7"."16.2".""."".""."".""
"C11"."CAP_0603"."CAP_0603_N"."50.35"."48.05"."Bottom"."180.0"."10uF 6.3V 0603 X5R 10%"."50.35"."48.05".""."".""."".""
"C12"."CAP_0603"."CAP_0603_N"."50.35"."45.15"."Bottom"."180.0"."10uF 6.3V 0603 X5R 10%"."50.35"."45.15".""."".""."".""
"C13"."CAP_0603"."CAP_0603_N"."50.35"."46.6"."Bottom"."180.0"."10uF 6.3V 0603 X5R 10%"."50.35"."46.6".""."".""."".""
"C14"."CAP_0402"."CAP_0402_MURATA"."71.6"."48"."Top"."270.0"."100nF 6.3V 0402"."71.6"."48".""."".""."".""
"C15"."CAP_0402"."CAP_0402_MURATA"."61.575"."50.975"."Bottom"."0.0"."100nF 6.3V 0402"."61.575"."50.975".""."".""."".""
"C16"."CAP_0402"."CAP_0402_MURATA"."35.4"."46"."Top"."90.0"."100nF 6.3V 0402"."35.4"."46".""."".""."".""
"C17"."CAP_0402"."CAP_0402_MURATA"."79.6"."48"."Top"."270.0"."100nF 6.3V 0402"."79.6"."48".""."".""."".""
"C18"."CAP_0402"."CAP_0402_MURATA"."43.4"."46"."Top"."90.0"."100nF 6.3V 0402"."43.4"."46".""."".""."".""
