"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"C1","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","92","38.9","180"
"C2","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","94.175","38.725","90"
"C3","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","96.875","37.7","0"
"C4","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","70.7","21.45","90"
"C5","Murata Electronics","GRM155R61A475KEAAD","true","Top","49.6","48.55","90.01"
"C6","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","71.7","21.45","90"
"C7","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","86.2","19.75","0"
"C8","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","86.2","18.75","0"
"C9","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","98","16.4","-90"
"C10","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Top","96.7","16.2","-90"
"C11","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","48.05","180"
"C12","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","45.15","180"
"C13","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","46.6","180"
"C14","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","71.6","48","-90"
"C15","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.575","50.975","0"
"C16","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","35.4","46","90"
"C17","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","79.6","48","-90"
"C18","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","43.4","46","90"
"C19","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Bottom","55.05","49.025","0"
"C20","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","15.8","37.7","0"
"C21","Murata Electronics","GRM155R71H221KA01D","true","Top","14.1","34.425","180"
"C22","Murata Electronics","GRM155R71H221KA01D","true","Top","14.1","26.15","180"
"C23","Murata Electronics","GRM155R71H221KA01D","true","Top","14.1","17.825","180"
"C39","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.575","47.075","-90"
"C58","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.75","49.025","-90"
"C66","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","62.225","44.375","0.01"
"C68","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","62.225","43.425","0.01"
"C69","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","53.925","55.175","-179.99"
"C71","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.35","52.175","180"
"C87","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.25","52.2","180"
"C88","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.75","50.875","-90"
"C89","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.725","51.925","0"
"C92","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","53.925","54.25","180"
"C95","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","74.15","29.05","-90"
"C107","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Bottom","50.35","49.5","180"
"C108","Murata Electronics","GRM155R71H221KA01D","true","Top","49.6","51.2","-90"
"C109","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","50.975","180"
"C110","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","62.15","54.875","0.01"
"C120","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.8","31.3","-135"
"C132","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","24.225","180"
"C133","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","26.1","180"
"C134","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","21.4","-90"
"C135","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","17.8","180"
"C136","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","15.925","180"
"C137","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","13.1","-90"
"C138","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","34.4","180"
"C139","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","32.525","180"
"C140","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","29.7","-90"
"C141","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.5","31.2","-45"
"C142","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.475","27.975","45"
"C143","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.2","28","90"
"C144","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.5","24.4","180"
"C145","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","47.5","34.85","-179.99"
"C146","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.4","29.7","-45"
"C147","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.85","25.6","90"
"C148","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.925","33.6","-90"
"C149","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","52","30","0"
"C150","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","60.7","35.8","180"
"C151","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","57.5","35.6","0"
"C152","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","57","31.3","-45"
"C153","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","53.5","35.6","0"
"C154","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.9","33.6","-90"
"C155","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.375","25.2","0"
"C156","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.5","28.8","-90"
"C157","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.7","29.4","180"
"C158","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.3","28","90"
"C159","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","56.8","28","45"
"C160","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.5","22.9","-90"
"C161","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.3","22.9","-90"
"C162","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","49.95","33.6","90"
"C163","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","48.975","33.6","90"
"C164","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","62.9","38.2","0"
"C165","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","62.9","39.175","0"
"C166","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","51.2","28.3","0.01"
"C167","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.3","28.8","-90"
"C168","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","65.2","30","-90"
"C169","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.3","29.8","-45"
"C170","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","47.25","53.15","180"
"C172","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.475","47.575","90"
"C173","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.875","47.575","90"
"C174","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.975","47.725","180"
"C175","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.05","50.975","0"
"C176","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.725","52.925","0"
"D1","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","55.9","10.75","180"
"D2","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","59","10.75","0"
"D8","MDD(Microdiode Semiconductor)","BAV21W","true","Bottom","42.8","31.525","-89.99"
"D10","Foshan NationStar Optoelectronics","NCD0603B1","true","Top","19.85","12.9","90"
"D18","Foshan NationStar Optoelectronics","NCD0603O1","true","Top","82.45","26","90"
"D19","Foshan NationStar Optoelectronics","NCD0603R5","true","Top","32.5","32.45","-90"
"D20","Foshan NationStar Optoelectronics","NCD0603Y1","true","Top","32.5","26","90"
"D21","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","82.45","32.45","-90"
"D23","Foshan NationStar Optoelectronics","NCD0603B1","true","Top","19.8","16.7","90"
"J1","G-Switch","GT-B0403MSV11-100B1101","true","Bottom","17.5","48.5","-90"
"J2","G-Switch","GT-B0403MSV11-100B1101","true","Bottom","97.5","48.5","-90"
"J3","G-Switch","GT-B0403MSV11-100B1101","true","Bottom","32.5","14.5","0"
"J4","G-Switch","GT-B0403MSV11-100B1101","true","Bottom","82.5","14.5","0"
"J6","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","50.75","13.5","180"
"J7","Yxcon","F343-1211A0CMUB1","true","Top","57.5","19.3","180"
"J8","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","64.25","13.5","180"
"J9","LCKELEC","LCK-TF-027H37508-WLG","true","Top","101.797","17.1","-90"
"J10","HCTL","PZ127-2-02-S","true","Top","103.25","41.55","180"
