"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C1","CAP_1812_N","CAP_1812_N","197.7","23.15","Top","270.0","4.7nF 2kV 1812","197.7","23.15","","","","",""
"C2","CAP_0603_N","CAP_0603_N","168.85","91.75","Top","180.0","100nF 16V 0603 X7R 10%","168.85","91.75","C66501","","","",""
"C3","VKME1651J331MV","CAPAE1030X800L320X70N_AD2","26.197","48.35","Top","90.0","330uF 63V 20%","26.197","48.35","C487393","","","",""
"C4","VKME1651J331MV","CAPAE1030X800L320X70N_AD2","26.2","35.5","Top","90.01","330uF 63V 20%","26.2","35.5","C487393","","","",""
"C5","CAP_0402","CAP_0402_MURATA","37.55","103.55","Top","180.0","100nF 6.3V 0402","37.55","103.55","","","","",""
"C6","CAP_0603_N","CAP_0603_N","144.75","25.8","Top","0.0","100nF 16V 0603 X7R 10%","144.75","25.8","C66501","","","",""
"C7","CAP_0805_N","CAP_0805_N","42.15","70.6","Top","270.0","22uF 25V 0805 X5R","42.15","70.6","","","","",""
"C8","UMK325B7475MMHT","CAP_1210_N","49","32.05","Top","270.0","4.7uF 50V X7R 20%","49","32.05","","","","",""
"C9","CAP_0805_N","CAP_0805_N","44.15","70.6","Top","270.0","22uF 25V 0805 X5R","44.15","70.6","","","","",""
"C10","CAP_0603_N","CAP_0603_N","39.4","74.6","Top","270.0","100nF 63V X5R","39.4","74.6","","","","",""
"C11","CAP_0603_N","CAP_0603_N","50.2","62.45","Top","270.0","1nF 25V X5R","50.2","62.45","","","","",""
"C12","CAP_0603_N","CAP_0603_N","102","102.75","Top","90.0","10nF 6.3V 0603 20% X5R","102","102.75","","","","",""
"C13","CAP_0603_N","CAP_0603_N","56.05","51.4","Top","90.0","100nF 16V 0603 X7R 10%","56.05","51.4","C66501","","","",""
"C14","CAP_1206_N","CAP_1206_N","55.4","45.85","Top","270.0","10uF 16V 1206 X7R","55.4","45.85","","","","",""
"C15","CAP_0402","CAP_0402_MURATA","19","103.55","Top","180.0","100nF 6.3V 0402","19","103.55","","","","",""
"C16","CAP_0603_N","CAP_0603_N","54.6","58.45","Top","270.0","100nF 16V 0603 X7R 10%","54.6","58.45","C66501","","","",""
"C17","UMK325B7475MMHT","CAP_1210_N","59.5","32.05","Top","270.0","4.7uF 50V X7R","59.5","32.05","","","","",""
"C18","CAP_0603_N","CAP_0603_N","50.2","87.4","Top","270.0","1nF 25V X5R","50.2","87.4","","","","",""
"C19","CAP_0402","CAP_0402_MURATA","105.5","90.2","Top","0.0","100nF 6.3V 0402","105.5","90.2","","","","",""
"C20","GRM155R71H223KA12D","CAP_0402_N","57.25","33.05","Top","270.0","22nF 50V 20% X7R","57.25","33.05","","","","",""
"C21","GRM155R71H223KA12D","CAP_0402_N","51.25","33.05","Top","270.0","22nF 50V 20% X7R","51.25","33.05","","","","",""
"C22","CAP_0603_N","CAP_0603_N","54.25","39.55","Top","180.0","1uF 16V X7R","54.25","39.55","","","","",""
"C23","CAP_1210","CAP_1210_N","59.5","26.55","Top","90.0","47uF 16V X7R","59.5","26.55","","","","",""
"C24","CAP_0603_N","CAP_0603_N","59.5","36.55","Top","90.0","100nF 63V X5R","59.5","36.55","","","","",""
"C25","CAP_0603_N","CAP_0603_N","63.15","60.85","Top","270.0","100nF 16V 0603 X7R 10%","63.15","60.85","C66501","","","",""
"C26","CAP_0603_N","CAP_0603_N","79.3","53.55","Top","90.0","100nF 16V 0603 X7R 10%","79.3","53.55","C66501","","","",""
"C27","CAP_0603_N","CAP_0603_N","50.2","80.15","Top","270.0","1nF 25V X5R","50.2","80.15","","","","",""
"C28","VKME1651J331MV","CAPAE1030X800L320X70N_AD2","26.15","73.35","Top","90.0","330uF 63V 20%","26.15","73.35","C487393","","","",""
"C29","GRM32ER71J106KA12L","CAP_1210_N","37.65","70.6","Top","0.0","2.2uF 63V X5R","37.65","70.6","C437568","","","",""
"C30","CAP_0603_N","CAP_0603_N","196","18.15","Top","270.0","100nF 16V 0603 X7R 10%","196","18.15","C66501","","","",""
"C31","CAP_0603_N","CAP_0603_N","53.1","62.45","Top","270.0","1uF 25V 0603 X5R","53.1","62.45","","","","",""
"C32","CAP_0402","CAP_0402_MURATA","51.95","65.2","Top","270.0","100nF 25V 0402 X5R","51.95","65.2","","","","",""
"C33","CAP_0603_N","CAP_0603_N","56.05","76.4","Top","90.0","100nF 16V 0603 X7R 10%","56.05","76.4","C66501","","","",""
"C34","CAP_0603_N","CAP_0603_N","144.7","43","Top","180.0","100nF 16V 0603 X7R 10%","144.7","43","C66501","","","",""
