Designator,Mid X,Mid Y,Layer,Rotation
C1,15.8,37.7,Top,0
C2,11.6,29.7,Top,-90
C3,14.1,34.425,Top,180
C4,17.3,34.4,Top,180
C5,17.3,32.525,Top,180
C6,11.6,21.4,Top,-90
C7,14.1,26.15,Top,180
C8,17.3,24.225,Top,180
C9,17.3,26.1,Top,180
C10,11.6,13.1,Top,-90
C11,14.1,17.825,Top,180
C12,17.3,17.8,Top,180
C13,17.3,15.925,Top,180
C101,49.6,48.55,Top,90
C102,50.35,45.15,Bottom,180
C103,50.35,46.6,Bottom,180
C104,50.35,52.175,Bottom,180
C105,55.725,52.925,Bottom,0
C106,55.05,50.975,Bottom,0
C107,59.975,47.725,Bottom,180
C108,61.575,50.975,Bottom,0
C109,55.875,47.575,Bottom,90
C110,58.475,47.575,Bottom,90
C111,50.35,48.05,Bottom,180
C112,53.925,54.25,Bottom,180
C113,50.35,49.5,Bottom,180
C114,55.725,51.925,Bottom,0
C115,59.75,50.875,Bottom,-90
C116,49.6,51.2,Top,-90
C117,59.25,52.2,Bottom,180
C118,50.35,50.975,Bottom,180
C119,59.75,49.025,Bottom,-90
C120,62.15,54.875,Bottom,0
C121,53.925,55.175,Bottom,-180
C122,62.225,43.425,Bottom,0
C123,55.05,49.025,Bottom,0
C124,62.225,44.375,Bottom,0
C125,54.575,47.075,Bottom,-90
C126,65.2,30,Bottom,-90
C127,62.9,38.2,Bottom,0
C128,61.3,29.8,Bottom,-45
C129,62.9,39.175,Bottom,0
C130,51.2,28.3,Bottom,0
C131,54.3,28.8,Bottom,-90
C132,47.5,34.85,Top,-180
C133,59.5,24.4,Bottom,180
C134,59.2,28,Bottom,90
C135,49.95,33.6,Bottom,90
C136,55.475,27.975,Bottom,45
C137,48.975,33.6,Bottom,90
C138,55.5,31.2,Bottom,-45
C139,58.8,31.3,Bottom,-135
C140,52,30,Bottom,0
C141,58.7,29.4,Bottom,180
C142,50.925,33.6,Bottom,-90
C143,63.5,28.8,Bottom,-90
C144,50.85,25.6,Bottom,90
C145,63.375,25.2,Bottom,0
C146,55.4,29.7,Bottom,-45
C147,63.9,33.6,Bottom,-90
C148,74.15,29.05,Top,-90
C149,53.5,35.6,Bottom,0
C150,54.3,22.9,Bottom,-90
C151,57,31.3,Bottom,-45
C152,61.5,22.9,Bottom,-90
C153,57.5,35.6,Bottom,0
C154,56.8,28,Bottom,45
C155,60.7,35.8,Bottom,180
C156,58.3,28,Bottom,90
C157,92,38.9,Top,180
C158,47.25,53.15,Top,180
C159,96.875,37.7,Top,0
C160,94.175,38.725,Top,90
C301,71.6,48,Top,-90
C302,79.6,48,Top,-90
C303,35.4,46,Top,90
C304,43.4,46,Top,90
C401,96.7,16.2,Top,-90
C402,98,16.4,Top,-90
C601,71.7,21.45,Top,90
C602,86.2,18.75,Top,0
C603,70.7,21.45,Top,90
C604,86.2,19.75,Top,0
D1,19.8,16.7,Top,90
D2,19.85,12.9,Top,90
D101,82.45,32.45,Top,-90
D102,42.8,31.525,Bottom,-90
D103,32.5,32.45,Top,-90
D104,82.45,26,Top,90
D105,32.5,26,Top,90
