"10164227-1004A1RLF (Amphenol)","J1, J41, J42, J43","10164227-1004A1RLF","C7435219"
"NCD0603G1 (Foshan NationStar Optoelectronics)","D13, D24, D25, D26","LED_0603","C84267"
"NCD0603R5 (Foshan NationStar Optoelectronics)","D8, D18","LED_0603","C193902"
"NCD0603W1 (Foshan NationStar Optoelectronics)","D22","LED_0603","C84265"
"GT-A2501WVD-102SBT01 (G-Switch)","J12, J34","GT-A2501WVD-102SBT01","C23067542"
"TAJA226M016RNJ (KYOCERA AVX)","C68","CAPP_1206_N","C6328904"
"GRM155R71H223KA12D (Murata Electronics)","C20, C21, C123, C124","GRM155R71H223KA12D","C77023"
"CL05A105KA5NQNC (Samsung Electro-Mechanics)","C73","CAP_0402","C52923"
"CL05B104KA5NNNC (Samsung Electro-Mechanics)","C5, C15, C19, C32, C56, C60, C61, C63, C71, C75, C80, C88, C89, C90, C94, C95, C96, C99, C101, C102, C103, C104, C105, C111, C171","CAP_0402","C155422"
"CL05B472KC5VPNC (Samsung Electro-Mechanics)","C93, C106","CAP_0402","C5139656"
"CL10A106MA8NRNC (Samsung Electro-Mechanics)","C39, C58, C64, C66, C69, C87, C92","CAP_0603_N","C96446"
"CL10B102KB8NNNC (Samsung Electro-Mechanics)","C11, C18, C27, C97","CAP_0603_N","C1588"
"CL10B103KB8NNNC (Samsung Electro-Mechanics)","C12, C41, C42, C43, C44, C45, C46, C48, C49, C52, C57, C59, C62, C67, C72, C76, C78, C81, C82, C83","CAP_0603_N","C1589"
"CL10B104KB8NNNC (Samsung Electro-Mechanics)","C7, C9, C36, C37, C116, C117","CAP_0805_N","C1591"
"CL10B104KC8NNNC (Samsung Electro-Mechanics)","C2, C6, C10, C13, C16, C24, C25, C26, C30, C33, C34, C38, C40, C47, C51, C53, C55, C65, C74, C77, C84, C85, C86, C118, C127","CAP_0603_N","C15725"
"CL10B105KA8NNNC (Samsung Electro-Mechanics)","C22, C31, C54, C79, C91, C98, C125","CAP_0603_N","C29936"
"CL10C220JB8NNNC (Samsung Electro-Mechanics)","C112, C128","CAP_0603_N","C1653"
"CL31B106KAHNNNE (Samsung Electro-Mechanics)","C14, C35","CAP_1206_N","C14860"
"CL32B475KBUYNNE (Samsung Electro-Mechanics)","C8, C17, C29, C70, C119, C121, C122","CAP_1210_N","C170099"
"FTSH-105-01-L-DV-K-P-TR (Samtec)","J36","FTSH-105-01-L-DV-K-P-TR","C2932107"
"CS3225X7R476K160NRL (Samwha Capacitor)","C23, C113, C114, C115, C126, C129, C130, C131","CAP_1210","C5440143"
"0402WGF1002TCE (UNI-ROYAL(Uniroyal Elec))","R13, R26, R27, R42, R57, R59, R69, R72, R75, R76, R82, R135, R136, R139, R144, R146, R175","RES_0402","C25744"
"0402WGF1003TCE (UNI-ROYAL(Uniroyal Elec))","R41, R62","RES_0402","C25741"
"0402WGF3300TCE (UNI-ROYAL(Uniroyal Elec))","R29, R30, R60, R61","RES_0402","C25104"
"0402WGF330JTCE (UNI-ROYAL(Uniroyal Elec))","R78, R79, R80, R81","RES_0402","C25105"
"0402WGF4701TCE (UNI-ROYAL(Uniroyal Elec))","R38, R40, R84, R85","RES_0402","C25900"
"1812B472K202CT (Walsin Tech Corp)","C1","CAP_1812_N","C304036"
"YC164-FR-072KL (YAGEO)","R47, R86, R91, R93, R94, R96, R133, R134, R176, R177, R178","YC164-FR-072KL","C728884"
"VKME1651J331MV (Ymin)","C3, C4, C28, C50","VKME1651J331MV","C487393"
