Designator,Mid X,Mid Y,Layer,Rotation
C1,30.35,27.45,Top,90
C2,48.9,32.05,Top,-90
C3,34.35,32.05,Top,-90
C4,57.25,33.05,Top,-90
C5,36.68,33.05,Top,-90
C6,27.6,22.85,Top,90
C7,59.6,32.05,Top,-90
C8,45.05,32.05,Top,-90
C9,51.25,33.05,Top,-90
C10,42.7,33.05,Top,-90
C11,54.25,39.55,Top,180
C12,39.7,39.55,Top,180
C13,28.25,17.6,Top,0
C14,28.25,19.6,Top,0
C15,59.5,36.55,Top,90
C16,44.95,36.55,Top,90
C17,51.25,39.55,Top,0
C18,36.7,39.55,Top,0
C19,67.05,50.5,Top,90
C20,65.6,50.5,Top,90
C21,59.6,26.55,Top,90
C22,34.35,26.55,Top,90
C23,48.9,26.55,Top,90
C24,34.35,21.8,Top,-90
C25,48.9,21.8,Top,-90
C26,45.05,21.8,Top,-90
C27,61.25,57.85,Top,180
C28,59.6,21.8,Top,-90
C29,45.05,26.55,Top,90
C30,26.2,35.5,Top,90
C31,26.197,48.35,Top,90
C32,26.15,73.35,Top,90
C33,97.25,38.5,Top,0
C34,58.775,45.45,Top,180
C40,197.7,23.15,Top,-90
C41,37.65,45.6,Top,0
C42,37.65,70.6,Top,0
C43,39.4,49.6,Top,-90
C44,39.4,74.6,Top,-90
C45,44.15,45.6,Top,-90
C46,42.15,70.6,Top,-90
C47,42.15,45.6,Top,-90
C48,44.15,70.6,Top,-90
C49,56.05,51.4,Top,90
C50,56.05,76.4,Top,90
C51,55.4,45.85,Top,-90
C52,55.4,71.1,Top,-90
C53,63.15,60.85,Top,-90
C54,63.15,85.8,Top,-90
C55,54.6,58.45,Top,-90
C56,54.55,83.4,Top,-90
C57,51.95,57.95,Top,-90
C58,51.95,82.9,Top,-90
C59,53.1,55.2,Top,-90
C60,53.1,80.15,Top,-90
C61,50.15,55.2,Top,-90
C62,50.2,80.15,Top,-90
C63,51.95,90.15,Top,-90
C64,51.95,65.2,Top,-90
C65,53.1,87.4,Top,-90
C66,53.1,62.45,Top,-90
C67,50.2,87.4,Top,-90
C68,50.2,62.45,Top,-90
C69,79.3,53.55,Top,90
C70,191.75,105.7,Top,90
C71,193.2,105.7,Top,90
C72,194.65,105.7,Top,90
C73,103.8,56.25,Top,0
C74,103.8,57.5,Top,0
C75,97.75,59.3,Top,90
C76,101.9,50.375,Top,90
C77,95.5,50.375,Top,90
C78,103.8,48.125,Top,90
C79,196.5,86.2,Top,90
C80,196.5,106.75,Top,90
C81,95.65,46.875,Top,180
C82,201.9,84.95,Top,-90
C83,201.9,105.5,Top,-90
C84,201.9,108,Top,-90
C85,201.9,87.45,Top,-90
C86,144.75,27.4,Top,0
C87,144.75,25.8,Top,0
C88,125.5,89.5,Top,0
C89,105.5,90.2,Top,0
C90,63.975,77.75,Top,180
C91,65.575,77.975,Top,90
C92,37.55,103.55,Top,180
C93,19,103.55,Top,180
C94,65.5,71.65,Top,90
C95,65.1,79.9,Top,180
C96,74.6,79.2,Top,-90
C97,75.8,79.2,Top,-90
C98,172.3,93.2,Top,0
C99,175.15,93.2,Top,0
C100,102,102.75,Top,90
C101,107.75,97.5,Top,0
C102,116.25,98.75,Top,-90
C103,102,98.75,Top,-90
C104,178,93.2,Top,0
C105,116.25,102.75,Top,90
C106,103.5,98.75,Top,-90
C107,117.75,98.75,Top,-90
C108,180.85,93.2,Top,0
C109,103.5,102.75,Top,90
C110,117.75,102.75,Top,90
C111,180.85,100.3,Top,0
C112,178,100.3,Top,0
C113,186.5,24.5,Top,90
C114,175.15,100.3,Top,0
C115,181,24.5,Top,90
C116,172.3,100.3,Top,0
C117,186,18.4,Top,-90
C118,188.8,18.4,Top,-90
C119,196,18.15,Top,-90
C120,54.45,112.3,Top,90
C121,104.5,112.3,Top,90
C122,154.5,112.3,Top,90
C123,204.5,112.3,Top,90
C124,155.75,78.25,Top,180
C125,155.75,67.5,Top,180
C126,164.35,91.75,Top,0
C127,168.85,91.75,Top,180
C128,207.2,43,Top,180
C129,191.55,43,Top,180
C130,175.95,43,Top,180
C131,160.35,43,Top,180
C132,144.7,43,Top,180
D1,44.2,41.05,Top,180
D2,67,52.95,Top,180
D3,55.9,58.45,Top,90
D4,58.75,41.05,Top,180
D5,55.9,83.4,Top,90
D6,20.9,22.85,Top,-90
D7,101,20.8,Top,0
D8,93.5,20.8,Top,180
D9,85.4,22.55,Top,90
D10,81.4,22.55,Top,90
D11,77.4,22.55,Top,90
D12,73.4,22.55,Top,90
D13,69.4,22.55,Top,90
D14,34.15,82.1,Top,-90
D15,34.197,57.1,Top,-90
D16,65.4,22.55,Top,90
D17,34.15,89.35,Top,90
D18,34.197,64.35,Top,90
D19,198.575,103.675,Top,180
D20,195.75,69,Top,0
D21,203.25,69,Top,180
E1,22.2,18.35,Top,180
E2,54.25,20.55,Top,-180
E3,39.7,20.55,Top,180
E4,24.05,27.4,Top,180
E5,33.4,48.1,Top,90
E6,33.4,73.1,Top,90
E7,204.9,21.8,Top,180
E8,46.9,48.85,Top,90
E9,46.9,73.85,Top,90
E10,51.85,50.6,Top,180
E11,51.85,75.6,Top,180
E12,164.5,88.5,Top,180
E13,172,88.5,Top,180
E14,183.25,88.5,Top,180
E15,190.75,88.5,Top,180
F1,102.75,26.8,Top,90
F2,91.75,26.8,Top,90
F3,85.9,31.05,Top,90
F4,81.9,31.05,Top,90
F5,77.9,31.05,Top,90
F6,73.9,31.05,Top,90
F7,69.9,31.05,Top,90
F8,26.297,57.1,Top,0
F9,26.25,82.1,Top,0
F10,65.9,31.05,Top,90
F11,26.25,89.35,Top,0
F12,26.297,64.35,Top,0
J1,26.4,12.875,Top,180
J2,12.875,106.15,Top,90
J3,14.4,79.6,Top,-90
J4,14.447,54.6,Top,-90
J5,14.45,33.25,Top,-90
