"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"1","C1, C2, C3, C7, C8, C41, C42","7","UMK325B7475MMHT","4.7uF 50V 1210 X7R 20%","CAP_1210_N","Taiyo Yuden","","","","","","","2"
"2","C4, C5, C9, C10","4","GRM155R71H223KA12D","22nF 50V 0402 X7R 20%","CAP_0402_N","Murata","","","","","","","2"
"3","C6, C15, C16, C43, C44","5","CAP_0603_N","100nF 63V 0603 X5R 10%","CAP_0603_N","","","","","","","","2"
"4","C11, C12","2","CAP_0603_N","1uF 16V 0603 X7R","CAP_0603_N","","","","","","","","2"
"5","C13, C14, C45, C46, C47, C48","6","CAP_0805_N","22uF 25V 0805 X5R","CAP_0805_N","","","","","","","","2"
"6","C17, C18","2","CAP_0603_N","22pF 16V 0603 C0G 5%","CAP_0603_N","","","","","","","","2"
"7","C19, C70, C71, C72, C78, C91, C97","7","CAP_0603_N","10uF 16V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"8","C20, C49, C50, C53, C54, C55, C56, C69, C87, C119, C124, C125, C126, C127, C128, C129, C130, C131, C132","19","CAP_0603_N","100nF 16V 0603 X7R 10%","CAP_0603_N","Samsung","","","C66501","","","","2"
"9","C21, C22, C23, C24, C25, C26, C28, C29","8","CAP_1210","47uF 16V 1210 X7R","CAP_1210_N","","","","","","","","2"
"10","C27","1","CAPP_1206_N","22uF 16V 1206 TANTALUM 20%","CAPP_1206_N","","","","","","","","2"
"11","C30, C31, C32, C33","4","VKME1651J331MV","330uF 63V 20%","CAPAE1030X800L320X70N_AD2","Ymin","","","C487393","","","https://www.ymin.cn/chip-miniature-type-aluminum-electrolytic-capacitors-vkm-product/","2"
"12","C34, C75, C76, C77, C81, C82, C83, C88, C89, C92, C93, C96","12","CAP_0402","100nF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"13","C35, C38, C39","3","330uF 50V ±20%","","CAPPRD500W60D1050H2200","Nichicon","","","C2166065","","","https://www.lcsc.com/datasheet/C2166065.pdf","2"
"14","C36, C37","2","NEV220M63","","CAPPRD500W60D1050H2200","NTE","","","","","","http://datasheets.diptrace.com/nte/nev_neh.pdf","2"
"15","C40","1","CAP_1812_N","4.7nF 2kV 1812","CAP_1812_N","","","","","","","","2"
"16","C51, C52","2","CAP_1206_N","10uF 16V 1206 X7R","CAP_1206_N","","","","","","","","2"
"17","C57, C58, C63, C64","4","CAP_0402","100nF 25V 0402 X5R","RES_0402_202305","","","","","","","","2"
"18","C59, C60, C65, C66","4","CAP_0603_N","1uF 25V 0603 X5R","CAP_0603_N","","","","","","","","2"
"19","C61, C62, C67, C68","4","CAP_0603_N","1nF 25V 0603 X5R","CAP_0603_N","","","","","","","","2"
"20","C73","1","CAP_0402","470pF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"21","C74","1","CAP_0402","1uF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"22","C79, C80, C95","3","CAP_0402","100nF 10V 0402","RES_0402_202305","","","","","","","","2"
"23","C84, C85","2","CAP_0402","4.7nF 100V 0402 X7R 10%","RES_0402_202305","","GRM155R72A472KA01D","","C415704","","","https://www.lcsc.com/datasheet/C415704.pdf","2"
"24","C86","1","CAP_0603_N","1uF 25V 0603 X7R 10%","CAP_0603_N","Samsung","","","C29936","","","","2"
"25","C90, C94, C120, C121, C122, C123","6","CAP_0402","100nF 16V 0402","RES_0402_202305","","","","","","","","2"
"26","C98, C99, C100, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118","20","CAP_0603_N","10nF 6.3V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"27","C101","1","CAP_0603_N","100nF 6.3V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"28","D1","1","LED 0603 GREEN","V5P0_B","LED_0603_WURTH","","","","","","","","2"
"29","D2","1","LED 0603 RED","V3P3_CPU","LED_0603_WURTH","","","","","","","","2"
"30","D3","1","LED 0603 GREEN","V5P0_ISOLATED_1","LED_0603_WURTH","","","","","","","","2"
"31","D4","1","LED 0603 GREEN","V5P0_A","LED_0603_WURTH","","","","","","","","2"
"32","D5","1","LED 0603 GREEN","V5P0_ISOLATED_2","LED_0603_WURTH","","","","","","","","2"
"33","D6","1","LED 0603 WHITE","V7P0","LED_0603_WURTH","","","","","","","","2"
"34","D7, D8, D9, D10, D11, D12, D13, D16, D20, D21","10","SS14","","DIOM529X267X242L114X150N","MDD(Microdiode Electronics)","","","C2480","","","http://datasheets.diptrace.com/mdd/SS14.pdf","2"
"35","D14, D15, D17, D18","4","SS310","","DIOM529X267X242L114X150N","FOSAN","","","C3014013","","","https://www.lcsc.com/datasheet/C3014013.pdf","2"
"36","D19","1","LED 0603 RED","V5P0_B","LED_0603_WURTH","","","","","","","","2"
"37","E1","1","MDD_SMA_DO214AC_SMAJ7.0A","7Vrwm 'AM'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C138782","","","","2"
"38","E2, E3, E10, E11","4","MDD_SMA_DO214AC_SMAJ5.0A","5Vrwm 'AE'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C113952","","","","2"
"39","E4","1","MDD_SMA_DO214AC_SMAJ24A","24Vrwm 'BZ'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C113962","","","https://www.lcsc.com/datasheet/C89612.pdf","2"
"40","E5, E6","2","MDD_SMA_DO214AC_SMAJ48A","48Vrwm 'CX'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C173502","","","https://www.lcsc.com/datasheet/C89612.pdf","2"
"41","E7","1","SMCJ6.0A-E3/57T","SMCJ6.0","DIOM794X590X262L114X305N","VISHAY","","","C1976142","","","https://www.lcsc.com/datasheet/C1976142.pdf","2"
