"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C1","UMK325B7475MMHT","CAP_1210_N","30.35","27.45","Top","90.0","4.7uF 50V 1210 X7R 20%","30.35","27.45","","","","",""
"C2","UMK325B7475MMHT","CAP_1210_N","48.9","32.05","Top","270.0","4.7uF 50V 1210 X7R 20%","48.9","32.05","","","","",""
"C3","UMK325B7475MMHT","CAP_1210_N","34.35","32.05","Top","270.0","4.7uF 50V 1210 X7R 20%","34.35","32.05","","","","",""
"C4","GRM155R71H223KA12D","CAP_0402_N","57.25","33.05","Top","270.0","22nF 50V 0402 X7R 20%","57.25","33.05","","","","",""
"C5","GRM155R71H223KA12D","CAP_0402_N","36.68","33.05","Top","270.0","22nF 50V 0402 X7R 20%","36.68","33.05","","","","",""
"C6","CAP_0603_N","CAP_0603_N","27.6","22.85","Top","90.0","100nF 63V 0603 X5R 10%","27.6","22.85","","","","",""
"C7","UMK325B7475MMHT","CAP_1210_N","59.6","32.05","Top","270.0","4.7uF 50V 1210 X7R 20%","59.6","32.05","","","","",""
"C8","UMK325B7475MMHT","CAP_1210_N","45.05","32.05","Top","270.0","4.7uF 50V 1210 X7R 20%","45.05","32.05","","","","",""
"C9","GRM155R71H223KA12D","CAP_0402_N","51.25","33.05","Top","270.0","22nF 50V 0402 X7R 20%","51.25","33.05","","","","",""
"C10","GRM155R71H223KA12D","CAP_0402_N","42.7","33.05","Top","270.0","22nF 50V 0402 X7R 20%","42.7","33.05","","","","",""
"C11","CAP_0603_N","CAP_0603_N","54.25","39.55","Top","180.0","1uF 16V 0603 X7R","54.25","39.55","","","","",""
"C12","CAP_0603_N","CAP_0603_N","39.7","39.55","Top","180.0","1uF 16V 0603 X7R","39.7","39.55","","","","",""
"C13","CAP_0805_N","CAP_0805_N","28.25","17.6","Top","0.0","22uF 25V 0805 X5R","28.25","17.6","","","","",""
"C14","CAP_0805_N","CAP_0805_N","28.25","19.6","Top","0.0","22uF 25V 0805 X5R","28.25","19.6","","","","",""
