"AMS1117-3.3 (Advanced Monolithic Systems)","U4","AMS1117-3.3","C6186"
"ADUM1200ARZ-RL7 (Analog Devices)","U12, U13","ADUM1200ARZ-RL7","C15219"
"MAX3490EESA+T (Analog Devices Inc./Maxim Integrated)","U26","MAX3490EESA+T","C23404"
"HX717 (Avia Semicon (Xiamen))","U29","HX717","C2961106"
"2.54-1*4PFemale (BOOMELE(Boom Precision Elec))","J12, J33","2.54-1*4PFemale","C2718488"
"VH-2A (BOOMELE(Boom Precision Elec))","J7","VH-2A","C16728"
"VH-4A (BOOMELE(Boom Precision Elec))","J5, J8, J11","VH-4A","C8884"
"VH-6A (BOOMELE(Boom Precision Elec))","J3, J4, J9","VH-6A","C21473"
"XH-2ARed (BOOMELE(Boom Precision Elec))","J24","XH-2A_RED","C24192"
"XH-2AYellow (BOOMELE(Boom Precision Elec))","J22","XH-2A_YELLOW","C57141"
"XH-3A (BOOMELE(Boom Precision Elec))","J1, J32, J34","XH-3A","C2316"
"XH-4A Yellow (BOOMELE(Boom Precision Elec))","J21","XH-4A_YELLOW","C68117"
"XH-4ABlack (BOOMELE(Boom Precision Elec))","J17","XH-4A_BLACK","C57846"
"XH-4AGreen (BOOMELE(Boom Precision Elec))","J2","XH-4A_GREEN","C192885"
"XH-5ABlue (BOOMELE(Boom Precision Elec))","J37, J38","XH-5A_BLUE","C57142"
"XH-6A (BOOMELE(Boom Precision Elec))","J16, J20, J31, J39","XH-6A","C5663"
"XH-9A (BOOMELE(Boom Precision Elec))","J25, J26, J27, J28, J35, J36","XH-9A","C33435"
"PESD5V0S2BT (BORN)","E12, E13, E14, E15","PESD5V0S2BT,215","C343998"
"XGZP6859DC100KPGPN (CFSensor)","U27, U28","XGZP6859DC100KPGPN","C9900005447"
"AAPS0650M4R7H (COILANK INTERNATIONAL)","L2, L3","AAPS0650","C49073771"
"CR1812J33K0E04Z (Ever Ohms Tech)","R28","RES_1812_M","C174886"
"NCD0603G1 (Foshan NationStar Optoelectronics)","D1, D3, D4, D5, D6","LED_0603","C84267"
"NCD0603R5 (Foshan NationStar Optoelectronics)","D2, D19","LED_0603","C193902"
"HC-PBB40C-100DS-0.4V-3.0-02 (HCTL)","J40, J41, J42, J43","HC-PBB40C-100DS-0.4V-3.0-02","C19089295"
"GMD12095YB-5V2400 (INGHAi)","LS1","GMD12095YB-5V2400","C252941"
"IRF7341TRPBF (Infineon Technologies)","Q1, Q2, Q3, Q4","IRF7341PbF","C21791"
"331010SG0ABLA02 (JILN)","J29, J30","331010SG0ABLA02","C601978"
"TAJA226M016RNJ (KYOCERA AVX)","C27","CAPP_1206_N","C6328904"
"RXEF110 (Littelfuse)","F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12","RXEF110","C3760872"
"SMAJ12A (MDD(Microdiode Semiconductor))","E8, E9","MDD_SMA_DO214AC_SMAJ12A","C113957"
"SMAJ24A (MDD(Microdiode Semiconductor))","E4","MDD_SMA_DO214AC_SMAJ24A","C113962"
"SMAJ5.0A (MDD(Microdiode Semiconductor))","E2, E3, E10, E11","MDD_SMA_DO214AC_SMAJ5.0A","C113952"
"SMAJ7.0A (MDD(Microdiode Semiconductor))","E1","MDD_SMA_DO214AC_SMAJ7.0A","C138782"
"SS14 (MDD(Microdiode Semiconductor))","D7, D8, D9, D10, D11, D12, D13, D16, D20, D21","SS14","C2480"
"SS310 (MDD(Microdiode Semiconductor))","D14, D15, D17, D18","SS310","C15874"
"LAN8742AI-CZ-TR (Microchip Tech)","U20","LAN8742AI-CZ-TR","C621425"
"MCP1416T-E/OT (Microchip Tech)","U14, U15, U16, U17","MCP1416T-E/OT","C83775"
"GRM155R71H223KA12D (Murata Electronics)","C4, C5, C9, C10","GRM155R71H223KA12D","C77023"
"NX2016SA-25MHZ-STD-CZS-2 (NDK)","X1","NX2016SA-25MHZ-STD-CZS-2","C843258"
"PCA9545APW,118 (NXP Semicon)","U24, U25","PCA9545APW,118","C515584"
"WJ15EDGVC-3.81-04P-14-00A (Ningbo Kangnex Elec)","J18, J19","WJ15EDGVC-3.81-04P-14-00A","C8410"
"PS2801-1-F3-A/L (RENESAS)","U31, U33, U34, U36","PS2801-1-A","C3293138"
"X503212MSB2GI (SMD5032-2P)","Y1","X503212MSB2GI","C112573"
"SMAJ48A-TR (STMicroelectronics)","E5, E6","MDD_SMA_DO214AC_SMAJ48A","C1973855"
"USBLC6-4SC6 (STMicroelectronics)","U21","USBLC6-4SC6","C111212"
"SMNR4030-220MT (SXN(Shun Xiang Nuo Elec))","L1, L4, L5","SMNR4030-22UH","C135264"
"CL05A105KA5NQNC (Samsung Electro-Mechanics)","C74","CAP_0402","C52923"
"CL05B104KA5NNNC (Samsung Electro-Mechanics)","C34, C57, C58, C63, C64, C75, C76, C77, C79, C80, C81, C82, C83, C88, C89, C90, C92, C93, C94, C95, C96, C120, C121, C122, C123","CAP_0402","C155422"
"CL05B472KC5VPNC (Samsung Electro-Mechanics)","C84, C85","CAP_0402","C5139656"
"CL05C471JB5NNNC (Samsung Electro-Mechanics)","C73","CAP_0402","C307449"
"CL10A106MA8NRNC (Samsung Electro-Mechanics)","C19, C70, C71, C72, C78, C91, C97","CAP_0603_N","C96446"
"CL10B102KB8NNNC (Samsung Electro-Mechanics)","C61, C62, C67, C68","CAP_0603_N","C1588"
"CL10B103KB8NNNC (Samsung Electro-Mechanics)","C98, C99, C100, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118","CAP_0603_N","C1589"
