"ESP32-C3-MINI-1-H4 (Espressif Systems)","U104","ESP32-C6-MINI-1-H4","C2934569"
"NCD0603B1 (Foshan NationStar Optoelectronics)","D1, D2","LED_0603","C84266"
"NCD0603G1 (Foshan NationStar Optoelectronics)","D101, D601, D602","LED_0603","C84267"
"NCD0603O1 (Foshan NationStar Optoelectronics)","D104","LED_0603","C84269"
"NCD0603R5 (Foshan NationStar Optoelectronics)","D103","LED_0603","C193902"
"NCD0603Y1 (Foshan NationStar Optoelectronics)","D105","LED_0603","C84268"
"GT-A2501WVD-102SBT01 (G-Switch)","J1","GT-A2501WVD-102SBT01","C23067542"
"GT-TC031A-H020-L1N (G-Switch)","S401, S402, S403, S404, S405, S406","GT-TC031A-H020-L1N","C5117876"
"8132H-50.000ML33DTL (HCI)","Y101","8132H-50.000ML33DTL","C19674255"
"PM127-2-11-S-4.3 (HCTL)","J403, J405, J408","PM127-2-11-S-4.3","C3975137"
"PZ127-2-02-S (HCTL)","J410","FTS-102-01-L-DV","C3975185"
"LCK-TF-027H37508-WLG (LCKELEC)","J407","LCK-TF-027H37508-WLG","C50380694"
"ICE40HX8K-CT256 (Lattice)","U102","ICE40HX8K-CT256","C1521993"
"BAV21W (MDD(Microdiode Semiconductor))","D102","BAV21W","C113947"
"SMF5.0A (MDD(Microdiode Semiconductor))","E1","MDD_SMF5.0A","C193402"
"GRM155R61A475KEAAD (Murata Electronics)","C101, C126, C127, C130, C135","CAP_0402","C77004"
"GRM155R71H221KA01D (Murata Electronics)","C3, C7, C11, C116","CAP_0402","C97872"
"TYPE-C 16PLT-H10.0 (SHOU HAN)","J601, J602","TYPE-C 16PLT-H10.0","C3151749"
"STM32H725IGK6 (ST)","U101","STM32H725IxK","C730151"
"CL05A105KA5NQNC (Samsung Electro-Mechanics)","C123, C157, C601, C602","CAP_0402","C52923"
"CL05A225KP5NSNC (Samsung Electro-Mechanics)","C121, C122, C124","CAP_0402","C107369"
"CL05B104KO5NNNC (Samsung Electro-Mechanics)","C1, C104, C105, C106, C107, C108, C109, C110, C112, C114, C115, C117, C119, C125, C128, C129, C131, C133, C134, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C158, C159, C301, C302, C303, C304, C402, C603, C604","CAP_0402","C1525"
"CL10A106MA8NRNC (Samsung Electro-Mechanics)","C102, C103, C111, C118, C120, C401","CAP_0603","C96446"
"CL10A475KO8NNNC (Samsung Electro-Mechanics)","C2, C6, C10, C113","CAP_0603","C19666"
"CL21A226MAQNNNE (Samsung Electro-Mechanics)","C4, C5, C8, C9, C12, C13, C132, C160","CAP_0805_N","C45783"
"FTSH-105-01-L-DV-K-P-TR (Samtec)","J402","FTSH-105-01-L-DV-K-P-TR","C2932107"
"MCHK1608T2R2MKN (Taiyo Yuden)","L101","IND_0603_N","C3910547"
"SN3257QDYYRQ1 (Texas Instruments)","U301, U302, U303, U304","SN3257QDYYRQ1","C2875445"
"TMUXHS221NKGR (Texas Instruments)","U601, U602","TMUXHS221NKGR","C7362468"
"TPS3820-50DBVR (Texas Instruments)","U1","TPS3820-50DBVx","C702185"
"TPS62A02PDDCR (Texas Instruments)","U2, U3, U4","TPS62A02PDDCR","C22445521"
"0402WGF0000TCE (UNI-ROYAL(Uniroyal Elec))","R102, R103, R405, R406","RES_0402","C17168"
"0402WGF1002TCE (UNI-ROYAL(Uniroyal Elec))","R4, R5, R101, R107, R109, R112, R113, R116, R117, R121, R122, R125, R128, R129, R131, R402, R404, R407, R408, R409, R605, R606, R608, R610","RES_0402","C25744"
"0402WGF1003TCE (UNI-ROYAL(Uniroyal Elec))","R7, R8, R11, R14","RES_0402","C25741"
"0402WGF2200TCE (UNI-ROYAL(Uniroyal Elec))","R2, R3","RES_0402","C25091"
"0402WGF3300TCE (UNI-ROYAL(Uniroyal Elec))","R105, R106, R134, R137, R138, R139, R611, R612","RES_0402","C25104"
"0402WGF330JTCE (UNI-ROYAL(Uniroyal Elec))","R118, R119, R120, R123, R124, R130, R132, R133, R135, R136","RES_0402","C25105"
"0402WGF4533TCE (UNI-ROYAL(Uniroyal Elec))","R6, R9, R10, R12, R13","RES_0402","C27009"
"0402WGF4701TCE (UNI-ROYAL(Uniroyal Elec))","R607, R609","RES_0402","C25900"
"0402WGF470JTCE (UNI-ROYAL(Uniroyal Elec))","R104","RES_0402","C25118"
"0402WGF5101TCE (UNI-ROYAL(Uniroyal Elec))","R601, R602, R603, R604","RES_0402","C25905"
"0603WAF1000T5E (UNI-ROYAL(Uniroyal Elec))","R108, R110, R111, R401","RES_0603_N","C22775"
"0603WAF100KT5E (UNI-ROYAL(Uniroyal Elec))","R114, R115, R126, R127","RES_0603_N","C22936"
"HP06W2J0000T5E (UNI-ROYAL(Uniroyal Elec))","R1","RES_1206_N","C473612"
"W25Q16JVUXIQ (WINBOND)","U103","W25Q16JVUXIQ","C2843335"
"X0408WVS-100A-LPV01 (XKB Connection)","J404, J406, J409, J411","X0408WVS-100A-LPV01","C21261228"
"YC164-FR-072KL (YAGEO)","R403","YC164-FR-072KL","C728884"
"DFE252012F-1R0M=P2 (muRata)","L1, L2, L3","DFE252012F-1R0M","C435392"
