"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"C1","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","12.6","34.275","0"
"C2","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","29.7","-90"
"C3","Murata Electronics","GRM155R71H221KA01D","true","Top","14.6","34.425","180"
"C4","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","34.4","180"
"C5","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","32.525","180"
"C6","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","21.4","-90"
"C7","Murata Electronics","GRM155R71H221KA01D","true","Top","14.6","26.15","180"
"C8","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","24.225","180"
"C9","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","26.1","180"
"C10","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Top","11.6","13.1","-90"
"C11","Murata Electronics","GRM155R71H221KA01D","true","Top","14.6","17.825","180"
"C12","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","17.8","180"
"C13","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","17.3","15.925","180"
"C101","Murata Electronics","GRM155R61A475KEAAD","true","Top","49.6","48.55","90.01"
"C102","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","45.15","180"
"C103","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","46.6","180"
"C104","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.35","52.175","180"
"C105","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.725","52.925","0"
"C106","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.05","50.975","0"
"C107","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.975","47.725","180"
"C108","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.575","50.975","0"
"C109","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.875","47.575","90"
"C110","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.475","47.575","90"
"C111","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","48.05","180"
"C112","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","53.925","54.25","180"
"C113","Samsung Electro-Mechanics","CL10A475KO8NNNC","true","Bottom","50.35","49.5","180"
"C114","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.725","51.925","0"
"C115","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.75","50.875","-90"
"C116","Murata Electronics","GRM155R71H221KA01D","true","Top","49.6","51.2","-90"
"C117","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.25","52.2","180"
"C118","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","50.35","50.975","180"
"C119","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.75","49.025","-90"
"C120","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Bottom","62.15","54.875","0.01"
"C121","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","53.925","55.175","-179.99"
"C122","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","62.225","43.425","0.01"
"C123","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Bottom","55.05","49.025","0"
"C124","Samsung Electro-Mechanics","CL05A225KP5NSNC","true","Bottom","62.225","44.375","0.01"
"C125","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.575","47.075","-90"
"C126","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","65.2","30","-90"
"C127","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","62.9","38.2","0"
"C128","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.3","29.8","-45"
"C129","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","62.9","39.175","0"
"C130","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","51.2","28.3","0.01"
"C131","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.3","28.8","-90"
"C132","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","47.5","34.85","-179.99"
"C133","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.5","24.4","180"
"C134","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","59.2","28","90"
"C135","Murata Electronics","GRM155R61A475KEAAD","true","Bottom","49.95","33.6","90"
"C136","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.475","27.975","45"
"C137","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","48.975","33.6","90"
"C138","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.5","31.2","-45"
"C139","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.8","31.3","-135"
"C140","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","52","30","0"
"C141","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.7","29.4","180"
"C142","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.925","33.6","-90"
"C143","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.5","28.8","-90"
"C144","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","50.85","25.6","90"
"C145","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.375","25.2","0"
"C146","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","55.4","29.7","-45"
"C147","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","63.9","33.6","-90"
"C148","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","74.15","29.05","-90"
"C149","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","53.5","35.6","0"
"C150","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","54.3","22.9","-90"
"C151","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","57","31.3","-45"
"C152","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","61.5","22.9","-90"
"C153","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","57.5","35.6","0"
"C154","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","56.8","28","45"
"C155","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","60.7","35.8","180"
"C156","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Bottom","58.3","28","90"
"C157","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","92","38.9","180"
"C158","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","47.25","53.15","180"
"C159","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","96.875","37.7","0"
"C160","Samsung Electro-Mechanics","CL21A226MAQNNNE","true","Top","94.175","38.725","90"
"C301","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","71.6","48","-90"
"C302","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","79.6","48","-90"
"C303","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","35.4","46","90"
"C304","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","43.4","46","90"
"C401","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Top","96.7","16.2","-90"
"C402","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","98","16.4","-90"
"C601","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","71.7","21.45","90"
"C602","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","86.2","18.75","0"
"C603","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","70.7","21.45","90"
"C604","Samsung Electro-Mechanics","CL05B104KO5NNNC","true","Top","86.2","19.75","0"
"D1","Foshan NationStar Optoelectronics","NCD0603B1","true","Top","19.8","16.7","90"
"D2","Foshan NationStar Optoelectronics","NCD0603B1","true","Top","19.85","12.9","90"
"D101","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","82.45","32.45","-90"
"D102","MDD(Microdiode Semiconductor)","BAV21W","true","Bottom","42.8","31.525","-89.99"
"D103","Foshan NationStar Optoelectronics","NCD0603R5","true","Top","32.5","32.45","-90"
"D104","Foshan NationStar Optoelectronics","NCD0603O1","true","Top","82.45","26","90"
"D105","Foshan NationStar Optoelectronics","NCD0603Y1","true","Top","32.5","26","90"
"D601","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","55.9","10.75","180"
"D602","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","59","10.75","0"
"E1","MDD(Microdiode Semiconductor)","SMF5.0A","true","Top","26.825","18.5","180"
"J1","G-Switch","GT-A2501WVD-102SBT01","true","Top","12.875","42.575","-90"
"J402","Samtec","FTSH-105-01-L-DV-K-P-TR","true","Top","27.5","26","-90"
"J403","HCTL","PM127-2-11-S-4.3","true","Top","57.5","19.3","180"
"J404","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","17.5","48.5","-90"
"J405","HCTL","PM127-2-11-S-4.3","true","Top","78.8","26.6","90"
"J406","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","97.5","48.5","-90"
"J407","LCKELEC","LCK-TF-027H37508-WLG","true","Top","101.797","17.1","-90"
"J408","HCTL","PM127-2-11-S-4.3","true","Top","36.2","26.6","90"
"J409","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","32.5","14.5","0"
"J410","HCTL","PZ127-2-02-S","true","Top","103.25","41.55","180"
"J411","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","82.5","14.5","0"
"J601","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","50.75","13.5","180"
"J602","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","64.25","13.5","180"
"L1","muRata","DFE252012F-1R0M=P2","true","Top","17.6","29.5","90"
"L2","muRata","DFE252012F-1R0M=P2","true","Top","17.6","21.2","90"
"L3","muRata","DFE252012F-1R0M=P2","true","Top","17.6","12.9","90"
