"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"1","C1, C33","2","UMK325B7475MMHT","4.7uF 100V 1210 X7R 20%","CAP_1210_N","Taiyo Yuden","","","","","","","2"
"2","C2, C3, C18, C19, C37, C38, C48, C49","8","CAP_0603_N","220nF 63V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"3","C4, C20, C39, C50","4","CAP_0603_N","470nF 63V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"4","C5, C7, C9, C21, C22, C24, C40, C41, C43, C51, C52, C54","12","CAP_0603_N","1nF 100V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"5","C6, C34","2","CAP_0603_N","100nF 63V 0603 X5R 10%","CAP_0603_N","","","","","","","","2"
"6","C8, C42","2","CAPP_0603_N","TBD 63V 0603 LOW ESR","CAPP_0603_N","","","","","","","","2"
"7","C10, C12, C16, C25, C27, C44, C46, C55, C57","9","VMML1652A221MV","220uF 100V 20%","CAPAE1300X1650L475X115N_AD2","Ymin","","","C487184","","","","2"
"8","C11, C15, C17, C26, C28, C45, C47, C56, C58","9","100PX220MEFC12.5X20","220uF 100V 20%","CAPPRD500W60D1350H2200","Rubycon","","","C88784","","","https://www.lcsc.com/datasheet/C88784.pdf","2"
"9","C13, C14, C35, C36","4","CAP_0805_N","22uF 25V 0805 X5R","CAP_0805_N","","","","","","","","2"
"10","C23, C53","2","CAP_0603_N","100nF 25V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"11","C29, C30, C59, C60","4","CAP_0603_N","2.2uF 25V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"12","C31, C61","2","CAP_0603_N","470nF 16V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"13","C32, C62, C64, C66","4","CAP_0603_N","100nF 63V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"14","C63, C65","2","CAP_0603_N","22nF 100V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"15","C67, C68, C69, C70, C71, C72, C73, C74, C128, C129","10","CAP_0603_N","100nF 16V 0603 X7R 10%","CAP_0603_N","","","","","","","","2"
"16","D1, D3","2","LED 0603 GREEN","V5P0_B","LED_0603_WURTH","","","","","","","","2"
"17","D2","1","LED 0603 RED","V3P3_CPU","LED_0603_WURTH","","","","","","","","2"
"18","E1","1","MDD_SMA_DO214AC_SMAJ5.0A","5Vrwm 'AE'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C113952","","","","2"
"19","E2","1","MDD_SMA_DO214AC_SMAJ7.0A","12Vrwm 'AM'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C113957","","","","2"
"20","E5","1","MDD_SMA_DO214AC_SMAJ48A","48Vrwm 'CX'","DIOM510X266X229L115X145N","MDD(Microdiode Semiconductor)","","","C173502","","","https://www.lcsc.com/datasheet/C89612.pdf","2"
"21","J1","1","B4P-VH(LF)(SN)","M2","JST_B4P-VH(LF)(SN)","","10164227-1004A1RLF","","","","","","4"
"22","J2","1","B5B-PH-SM4-TB(LF)(SN)","ED1","JST_B5B-PH-SM4-TB","JST","","","","","","http://datasheets.diptrace.com/jst/S2B-PH-K-S(LF)(SN)_and_series.pdf","7"
"23","J3","1","B5B-PH-SM4-TB(LF)(SN)","ED2","JST_B5B-PH-SM4-TB","JST","","","","","","http://datasheets.diptrace.com/jst/S2B-PH-K-S(LF)(SN)_and_series.pdf","7"
