"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP",""
"C1","CAP_1210_N","CAP_1210_N","24.05","157.65","Top","270.0","4.7uF 100V 1210 X7R 20%","24.05","157.65","","","","",""
"C2","CAP_0603_N","CAP_0603_N","30.675","78.9","Top","270.0","220nF 63V 0603 X5R 10%","30.675","78.9","","","","",""
"C3","CAP_0603_N","CAP_0603_N","34.05","78.9","Top","270.0","220nF 63V 0603 X5R 10%","34.05","78.9","","","","",""
"C4","CAP_0805_N","CAP_0805_N","25.175","47.65","Top","90.0","470nF 63V 0805 X7R 10%","25.175","47.65","","","","",""
"C5","CAP_0603_N","CAP_0603_N","32.05","48.65","Top","180.0","1nF 100V 0603 X7R 10%","32.05","48.65","","","","",""
"C6","CAP_0603_N","CAP_0603_N","18.05","157.65","Top","90.0","100nF 63V 0603 X5R 10%","18.05","157.65","","","","",""
"C7","CAP_0603_N","CAP_0603_N","28.05","48.65","Top","180.0","1nF 100V 0603 X7R 10%","28.05","48.65","","","","",""
"C9","CAP_0603_N","CAP_0603_N","30.675","73.962","Top","90.0","1nF 100V 0603 X7R 10%","30.675","73.962","","","","",""
"C10","VMML1652A221MV","CAPAE1300X1650L475X115N_AD2","16.8","64.15","Top","90.0","220uF 100V 20%","16.8","64.15","C487184","","","",""
"C11","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","16.8","64.15","Top","180.0","220uF 100V 20%","16.8","64.15","C88784","","","",""
"C12","VMML1652A221MV","CAPAE1300X1650L475X115N_AD2","16.8","47.65","Top","270.0","220uF 100V 20%","16.8","47.65","C487184","","","",""
"C13","CAP_0805_N","CAP_0805_N","15.55","156.65","Top","0.0","22uF 25V 0805 X5R","15.55","156.65","","","","",""
"C14","CAP_0805_N","CAP_0805_N","15.55","158.65","Top","0.0","22uF 25V 0805 X5R","15.55","158.65","","","","",""
"C15","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","16.8","47.65","Top","180.0","220uF 100V 20%","16.8","47.65","C88784","","","",""
"C16","VMML1652A221MV","CAPAE1300X1650L475X115N_AD2","34.8","162.15","Top","90.0","220uF 100V 20%","34.8","162.15","C487184","","","",""
"C17","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","34.8","162.15","Top","45.0","220uF 100V 20%","34.8","162.15","C88784","","","",""
"C18","CAP_0603_N","CAP_0603_N","35.55","78.9","Top","270.0","220nF 63V 0603 X5R 10%","35.55","78.9","","","","",""
"C19","CAP_0603_N","CAP_0603_N","38.925","78.9","Top","270.0","220nF 63V 0603 X5R 10%","38.925","78.9","","","","",""
"C20","CAP_0805_N","CAP_0805_N","44.425","47.65","Top","90.0","470nF 63V 0805 X7R 10%","44.425","47.65","","","","",""
"C21","CAP_0603_N","CAP_0603_N","37.55","48.65","Top","0.0","1nF 100V 0603 X7R 10%","37.55","48.65","","","","",""
"C22","CAP_0603_N","CAP_0603_N","41.55","48.65","Top","0.0","1nF 100V 0603 X7R 10%","41.55","48.65","","","","",""
"C23","CAP_0603_N","CAP_0603_N","42.925","83.4","Top","270.0","100nF 25V 0603 X7R 10%","42.925","83.4","","","","",""
