Designator,Mid X,Mid Y,Layer,Rotation
C1,24.25,157.65,Top,-90
C2,30.875,78.9,Top,-90
C3,34.25,78.9,Top,-90
C4,25.375,47.65,Top,90
C5,32.25,48.65,Top,180
C6,18.25,157.65,Top,90
C7,28.25,48.65,Top,180
C9,30.875,73.962,Top,90
C10,17,64.15,Top,90
C12,17,47.65,Top,-90
C13,15.75,156.65,Top,0
C14,15.75,158.65,Top,0
C16,35,162.15,Top,90
C18,35.75,78.9,Top,-90
C19,39.125,78.9,Top,-90
C20,44.625,47.65,Top,90
C21,37.75,48.65,Top,0
C22,41.75,48.65,Top,0
C23,43.125,83.4,Top,-90
C24,39.125,73.962,Top,90
C25,53,47.65,Top,-90
C27,53,64.15,Top,90
C29,41.625,83.4,Top,-90
C30,44.625,83.4,Top,-90
C31,27.75,88.025,Top,180
C32,27.75,84.9,Top,180
C33,45.75,160.65,Top,90
C34,51.75,160.65,Top,-90
C35,54.25,159.65,Top,180
C36,54.25,161.65,Top,180
C37,39.125,113.9,Top,90
C38,35.75,113.9,Top,90
C39,44.625,145.15,Top,-90
C40,37.75,144.15,Top,0
C41,41.75,144.15,Top,0
C43,39.125,118.837,Top,-90
C44,53,128.65,Top,-90
C46,53,145.15,Top,90
C48,34.25,113.9,Top,90
C49,30.875,113.9,Top,90
C50,25.375,145.15,Top,-90
C51,28.25,144.15,Top,180
C52,32.25,144.15,Top,180
C53,27,109.4,Top,90
C54,30.875,118.837,Top,-90
C55,17,128.65,Top,-90
C57,17,145.15,Top,90
C59,28.5,109.4,Top,90
C60,25.5,109.4,Top,90
C61,42.25,104.15,Top,0
C62,42.25,107.9,Top,0
C63,27.75,86.65,Top,0
C64,27.75,83.525,Top,0
C65,42.25,106.15,Top,180
C66,42.25,109.275,Top,180
C67,34.25,94.275,Top,90
C68,35.75,98.525,Top,-90
C69,30.125,24.65,Top,-90
C70,28.625,36.525,Top,-90
C71,13.375,24.65,Top,-90
C72,13.875,39.15,Top,0
C73,47.555,24.525,Top,-90
C74,48.3,39.15,Top,0
C128,24.4,93.575,Top,0
C129,45.55,99.225,Top,180
D1,13.25,155.15,Top,90
D2,27,24.65,Top,90
D3,56.75,155.15,Top,90
E1,12.3,160.75,Top,90
E2,57.75,160.75,Top,90
E5,23,161.9,Top,0
J1,35,149.7,Top,180
J2,14,83.4,Top,90
J3,56,83.4,Top,-90
J5,35,43.1,Top,0
J6,46.95,169.875,Top,0
J7,23,168.4,Top,180
J35,13.225,104.15,Top,90
J36,56.775,104.15,Top,-90
L1,16.5,162.15,Top,180
L2,53.5,156.15,Top,0
Q1,26.45,53.65,Top,-90
Q2,26.45,65.15,Top,-90
Q3,32.15,53.65,Top,-90
Q4,32.15,65.15,Top,-90
Q5,37.85,53.65,Top,-90
Q6,43.65,139.15,Top,90
Q7,43.55,127.65,Top,90
Q8,37.85,139.15,Top,90
Q9,37.875,127.65,Top,90
Q10,32.15,139.15,Top,90
Q11,32.15,127.65,Top,90
Q12,26.45,139.15,Top,90
Q13,26.45,127.65,Top,90
Q14,37.85,65.15,Top,-90
Q15,43.55,53.65,Top,-90
Q16,43.55,65.15,Top,-90
R1,30.15,59.4,Top,90
R2,30.9,69.9,Top,0
R3,24.45,59.4,Top,-90
R4,25.2,69.9,Top,180
R5,42.25,88.025,Top,0
R6,42.25,86.65,Top,0
R7,21.25,154.087,Top,180
R8,21.25,155.087,Top,180
R9,27.5,75.65,Top,90
R10,41.55,59.4,Top,90
R11,42.3,69.9,Top,0
R12,35.85,59.4,Top,-90
R13,36.6,69.9,Top,180
R14,42.25,89.4,Top,0
R15,42.25,90.775,Top,0
R16,42.5,75.65,Top,90
R17,44.625,86.4,Top,-90
R18,11.563,155.15,Top,90
R19,25.625,24.65,Top,-90
R20,51.25,24.65,Top,-90
R21,27.75,90.775,Top,0
R22,16.375,24.65,Top,90
R23,14.875,24.65,Top,90
R24,27.75,89.4,Top,0
R25,31.25,94.275,Top,90
R26,32.75,94.275,Top,-90
R27,34.5,24.65,Top,-90
R28,36,24.65,Top,-90
R29,31.5,24.65,Top,-90
R30,33,24.65,Top,-90
R31,52.75,24.65,Top,90
R32,43.625,24.65,Top,90
R33,48.75,164.212,Top,0
R34,48.75,163.212,Top,0
R35,39.85,133.4,Top,-90
R36,39.125,122.9,Top,180
R37,45.55,133.4,Top,90
R38,44.75,122.9,Top,0
R39,27.75,104.775,Top,180
R40,27.75,106.15,Top,180
R41,42.5,117.15,Top,-90
R42,28.45,133.4,Top,-90
R43,27.75,122.9,Top,180
R44,34.15,133.4,Top,90
R45,33.5,122.9,Top,0
R46,27.75,103.4,Top,180
R47,27.75,102.025,Top,180
R48,27.5,117.15,Top,-90
R49,25.5,106.525,Top,90
R50,38.75,98.525,Top,-90
R51,37.25,98.525,Top,90
R52,42.25,101.4,Top,180
R53,42.25,102.775,Top,180
R54,58.5,155.15,Top,90
R55,27.75,92.15,Top,180
R56,42.25,100.025,Top,0
R57,46.75,117.15,Top,-90
R58,23.25,117.15,Top,-90
R59,23.25,75.65,Top,90
R60,46.75,75.65,Top,90
R155,24.45,96.4,Top,90
R156,45.55,96.4,Top,-90
U1,20.75,157.65,Top,0
U2,35,86.9,Top,180
U3,49.25,160.65,Top,180
U4,18,32.15,Top,0
U5,35,32.15,Top,0
U6,35,105.9,Top,0
U7,52,32.15,Top,0
U42,19.9,96.4,Top,-180
U43,50.1,96.4,Top,0
