"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"C1","Taiyo Yuden","HMK325C7475KN-TE","true","Top","24.25","157.65","-90"
"C2","Taiyo Yuden","HMK107C7224KAHTE","true","Top","30.875","78.9","-90"
"C3","Taiyo Yuden","HMK107C7224KAHTE","true","Top","34.25","78.9","-90"
"C4","YAGEO","CC0805KKX7R0BB474","true","Top","25.375","47.65","90"
"C5","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","32.25","48.65","180"
"C6","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","18.25","157.65","90"
"C7","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","28.25","48.65","180"
"C9","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","30.875","73.962","90"
"C10","Ymin","VMML1652A221MV","true","Top","17","64.15","90"
"C12","Ymin","VMML1652A221MV","true","Top","17","47.65","-90"
"C13","Samsung Electro-Mechanics","CL10B104KB8NNNC","true","Top","15.75","156.65","0"
"C14","Samsung Electro-Mechanics","CL10B104KB8NNNC","true","Top","15.75","158.65","0"
"C16","Ymin","VMML1652A221MV","true","Top","35","160.9","180"
"C18","Taiyo Yuden","HMK107C7224KAHTE","true","Top","35.75","78.9","-90"
"C19","Taiyo Yuden","HMK107C7224KAHTE","true","Top","39.125","78.9","-90"
"C20","YAGEO","CC0805KKX7R0BB474","true","Top","44.625","47.65","90"
"C21","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","37.75","48.65","0"
"C22","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","41.75","48.65","0"
"C23","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","43.125","83.4","-90"
"C24","Samsung Electro-Mechanics","CL10B102KC8NNNC","true","Top","39.125","73.962","90"
"C25","Ymin","VMML1652A221MV","true","Top","53","47.65","-90"
"C27","Ymin","VMML1652A221MV","true","Top","53","64.15","90"
"C29","Samsung Electro-Mechanics","CL10A225KA8NNNC","true","Top","41.625","83.4","-90"
"C30","Samsung Electro-Mechanics","CL10A225KA8NNNC","true","Top","44.625","83.4","-90"
"C31","Samsung Electro-Mechanics","CL10B474KA8NNNC","true","Top","27.75","88.025","180"
"C32","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","27.75","84.9","180"
"C33","Taiyo Yuden","HMK325C7475KN-TE","true","Top","45.75","160.65","90"
"C34","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","51.75","160.65","-90"
"C35","Samsung Electro-Mechanics","CL10B104KB8NNNC","true","Top","54.25","159.65","180"
"C36","Samsung Electro-Mechanics","CL10B104KB8NNNC","true","Top","54.25","161.65","180"
